	X 	 Theta 
0.012500 	 1.003373 	 
0.037500 	 1.009783 	 
0.062500 	 1.015849 	 
0.087500 	 1.021572 	 
0.112500 	 1.026953 	 
0.137500 	 1.031994 	 
0.162500 	 1.036695 	 
0.187500 	 1.041057 	 
0.212500 	 1.045081 	 
0.237500 	 1.048768 	 
0.262500 	 1.052119 	 
0.287500 	 1.055133 	 
0.312500 	 1.057811 	 
0.337500 	 1.060154 	 
0.362500 	 1.062161 	 
0.387500 	 1.063834 	 
0.412500 	 1.065172 	 
0.437500 	 1.066175 	 
0.462500 	 1.066844 	 
0.487500 	 1.067178 	 
0.512500 	 1.067178 	 
0.537500 	 1.066844 	 
0.562500 	 1.066175 	 
0.587500 	 1.065172 	 
0.612500 	 1.063834 	 
0.637500 	 1.062161 	 
0.662500 	 1.060154 	 
0.687500 	 1.057811 	 
0.712500 	 1.055133 	 
0.737500 	 1.052119 	 
0.762500 	 1.048768 	 
0.787500 	 1.045081 	 
0.812500 	 1.041057 	 
0.837500 	 1.036695 	 
0.862500 	 1.031994 	 
0.887500 	 1.026953 	 
0.912500 	 1.021572 	 
0.937500 	 1.015849 	 
0.962500 	 1.009783 	 
0.987500 	 1.003373 	 
