	X 		 Phi_UDS 	 Phi (Eul. Ex.) 	 Phi_SOU
0.030000 	 1.075696 	 1.134824 			 0.388319 
0.090000 	 1.130692 	 1.189269 			 0.445567 
0.150000 	 1.181005 	 1.238573 			 0.500084 
0.210000 	 1.226943 	 1.283140 			 0.551910 
0.270000 	 1.268814 	 1.323376 			 0.601110 
0.330000 	 1.306932 	 1.359688 			 0.647781 
0.390000 	 1.341626 	 1.392493 			 0.692057 
0.450000 	 1.373237 	 1.422220 			 0.734112 
0.510000 	 1.402122 	 1.449300 			 0.774159 
0.570000 	 1.428648 	 1.474167 			 0.812445 
0.630000 	 1.453190 	 1.497246 			 0.849246 
0.690000 	 1.476118 	 1.518946 			 0.884854 
0.750000 	 1.497793 	 1.539648 			 0.919571 
0.810000 	 1.518555 	 1.559692 			 0.953693 
0.870000 	 1.538709 	 1.579370 			 0.987497 
0.930000 	 1.558517 	 1.598910 			 1.021225 
0.990000 	 1.578188 	 1.618473 			 1.055075 
1.050000 	 1.597869 	 1.638142 			 1.089187 
1.110000 	 1.617638 	 1.657920 			 1.123630 
1.170000 	 1.637499 	 1.677732 			 1.158399 
1.230000 	 1.657383 	 1.697420 			 1.193409 
1.290000 	 1.677149 	 1.716761 			 1.228493 
1.350000 	 1.696589 	 1.735463 			 1.263407 
1.410000 	 1.715435 	 1.753191 			 1.297837 
1.470000 	 1.733376 	 1.769572 			 1.331406 
1.530000 	 1.750063 	 1.784219 			 1.363693 
1.590000 	 1.765134 	 1.796750 			 1.394248 
1.650000 	 1.778229 	 1.806805 			 1.422608 
1.710000 	 1.789005 	 1.814068 			 1.448326 
1.770000 	 1.797161 	 1.818288 			 1.470983 
1.830000 	 1.802451 	 1.819293 			 1.490218 
1.890000 	 1.804703 	 1.817006 			 1.505744 
1.950000 	 1.803833 	 1.811458 			 1.517366 
2.010000 	 1.799853 	 1.802794 			 1.525000 
2.070000 	 1.792885 	 1.791273 			 1.528681 
2.130000 	 1.783156 	 1.777270 			 1.528574 
2.190000 	 1.771002 	 1.761267 			 1.524972 
2.250000 	 1.756861 	 1.743841 			 1.518296 
2.310000 	 1.741260 	 1.725646 			 1.509085 
2.370000 	 1.724803 	 1.707394 			 1.497985 
2.430000 	 1.708150 	 1.689830 			 1.485726 
2.490000 	 1.691997 	 1.673707 			 1.473102 
2.550000 	 1.677049 	 1.659753 			 1.460942 
2.610000 	 1.663993 	 1.648646 			 1.450085 
2.670000 	 1.653476 	 1.640985 			 1.441341 
2.730000 	 1.646071 	 1.637263 			 1.435467 
2.790000 	 1.642260 	 1.637844 			 1.433133 
2.850000 	 1.642403 	 1.642944 			 1.434890 
2.910000 	 1.646728 	 1.652615 			 1.441150 
2.970000 	 1.655311 	 1.666738 			 1.452161 
3.030000 	 1.668067 	 1.685020 			 1.467994 
3.090000 	 1.684752 	 1.706997 			 1.488530 
3.150000 	 1.704960 	 1.732048 			 1.513461 
3.210000 	 1.728134 	 1.759411 			 1.542292 
3.270000 	 1.753583 	 1.788203 			 1.574354 
3.330000 	 1.780501 	 1.817455 			 1.608823 
3.390000 	 1.807997 	 1.846141 			 1.644745 
3.450000 	 1.835118 	 1.873217 			 1.681067 
3.510000 	 1.860891 	 1.897658 			 1.716675 
3.570000 	 1.884354 	 1.918497 			 1.750431 
3.630000 	 1.904594 	 1.934866 			 1.781220 
3.690000 	 1.920782 	 1.946028 			 1.807985 
3.750000 	 1.932208 	 1.951413 			 1.829776 
3.810000 	 1.938312 	 1.950641 			 1.845785 
3.870000 	 1.938708 	 1.943545 			 1.855383 
3.930000 	 1.933206 	 1.930185 			 1.858147 
3.990000 	 1.921825 	 1.910848 			 1.853885 
4.050000 	 1.904798 	 1.886051 			 1.842650 
4.110000 	 1.882571 	 1.856526 			 1.824746 
4.170000 	 1.855793 	 1.823197 			 1.800721 
4.230000 	 1.825299 	 1.787156 			 1.771362 
4.290000 	 1.792083 	 1.749626 			 1.737666 
4.350000 	 1.757268 	 1.711919 			 1.700813 
4.410000 	 1.722066 	 1.675391 			 1.662128 
4.470000 	 1.687739 	 1.641394 			 1.623035 
4.530000 	 1.655552 	 1.611223 			 1.585011 
4.590000 	 1.626726 	 1.586073 			 1.549529 
4.650000 	 1.602395 	 1.566986 			 1.518008 
4.710000 	 1.583559 	 1.554813 			 1.491756 
4.770000 	 1.571046 	 1.550177 			 1.471925 
4.830000 	 1.565474 	 1.553441 			 1.459458 
4.890000 	 1.567228 	 1.564692 			 1.455054 
4.950000 	 1.576435 	 1.583732 			 1.459136 
5.010000 	 1.592955 	 1.610071 			 1.471826 
5.070000 	 1.616381 	 1.642946 			 1.492936 
5.130000 	 1.646043 	 1.681337 			 1.521966 
5.190000 	 1.681031 	 1.724000 			 1.558115 
5.250000 	 1.720219 	 1.769504 			 1.600305 
5.310000 	 1.762301 	 1.816286 			 1.647210 
5.370000 	 1.805838 	 1.862696 			 1.697301 
5.430000 	 1.849301 	 1.907062 			 1.748896 
5.490000 	 1.891132 	 1.947745 			 1.800221 
5.550000 	 1.929794 	 1.983204 			 1.849466 
5.610000 	 1.963830 	 2.012051 			 1.894858 
5.670000 	 1.991917 	 2.033106 			 1.934717 
5.730000 	 2.012919 	 2.045446 			 1.967530 
5.790000 	 2.025929 	 2.048440 			 1.991999 
5.850000 	 2.030310 	 2.041782 			 2.007102 
5.910000 	 2.025722 	 2.025508 			 2.012162 
5.970000 	 2.012140 	 2.000000 			 2.007620 
