Resolução para passo de tempo: 20.000000 
----------------------------------------------------------------------
Passo 	 Tempo 	 Solução Analítica 	 Euler Explicíto 	 Er. Abs. 	 Er. Rel. 
1 	 20.000000 	 1487.386034 	 -624.687500 	 2112.073534 	 1.419990 
2 	 40.000000 	 1225.294736 	 -636.557635 	 1861.852371 	 1.519514 
----------------------------------------------------------------------
Resolução para passo de tempo: 5.000000 
----------------------------------------------------------------------
Passo 	 Tempo 	 Solução Analítica 	 Euler Explicíto 	 Er. Abs. 	 Er. Rel. 
1 	 5.000000 	 2005.416366 	 1718.828125 	 286.588241 	 0.142907 
2 	 10.000000 	 1758.263375 	 1544.340193 	 213.923181 	 0.121667 
3 	 15.000000 	 1600.437477 	 1430.655094 	 169.782383 	 0.106085 
4 	 20.000000 	 1487.386034 	 1346.947543 	 140.438491 	 0.094420 
5 	 25.000000 	 1400.752562 	 1281.194323 	 119.558239 	 0.085353 
6 	 30.000000 	 1331.335854 	 1227.384702 	 103.951151 	 0.078080 
7 	 35.000000 	 1273.921895 	 1182.073597 	 91.848298 	 0.072099 
8 	 40.000000 	 1225.294736 	 1143.102888 	 82.191847 	 0.067079 
9 	 45.000000 	 1183.343227 	 1109.032541 	 74.310686 	 0.062797 
10 	 50.000000 	 1146.613505 	 1078.854969 	 67.758535 	 0.059094 
----------------------------------------------------------------------
Resolução para passo de tempo: 1.250000 
----------------------------------------------------------------------
Passo 	 Tempo 	 Solução Analítica 	 Euler Explicíto 	 Er. Abs. 	 Er. Rel. 
1 	 1.250000 	 2330.562881 	 2304.707031 	 25.855850 	 0.011094 
2 	 2.500000 	 2199.362670 	 2163.657133 	 35.705537 	 0.016234 
3 	 3.750000 	 2093.470328 	 2054.098563 	 39.371764 	 0.018807 
4 	 5.000000 	 2005.416366 	 1965.104750 	 40.311616 	 0.020101 
5 	 6.250000 	 1930.528984 	 1890.563092 	 39.965892 	 0.020702 
6 	 7.500000 	 1865.708768 	 1826.707066 	 39.001702 	 0.020904 
7 	 8.750000 	 1808.803512 	 1771.053467 	 37.750045 	 0.020870 
8 	 10.000000 	 1758.263375 	 1721.880747 	 36.382627 	 0.020692 
9 	 11.250000 	 1712.938620 	 1677.947910 	 34.990710 	 0.020427 
10 	 12.500000 	 1671.954957 	 1638.331981 	 33.622976 	 0.020110 
11 	 13.750000 	 1634.633483 	 1602.328698 	 32.304785 	 0.019763 
12 	 15.000000 	 1600.437477 	 1569.389045 	 31.048432 	 0.019400 
13 	 16.250000 	 1568.935970 	 1539.077176 	 29.858794 	 0.019031 
14 	 17.500000 	 1539.778162 	 1511.041621 	 28.736541 	 0.018663 
15 	 18.750000 	 1512.675062 	 1484.995073 	 27.679988 	 0.018299 
16 	 20.000000 	 1487.386034 	 1460.699841 	 26.686193 	 0.017942 
17 	 21.250000 	 1463.708784 	 1437.957188 	 25.751596 	 0.017593 
18 	 22.500000 	 1441.471777 	 1416.599371 	 24.872406 	 0.017255 
19 	 23.750000 	 1420.528425 	 1396.483599 	 24.044826 	 0.016927 
20 	 25.000000 	 1400.752562 	 1377.487384 	 23.265178 	 0.016609 
21 	 26.250000 	 1382.034899 	 1359.504925 	 22.529974 	 0.016302 
22 	 27.500000 	 1364.280197 	 1342.444249 	 21.835948 	 0.016005 
23 	 28.750000 	 1347.405011 	 1326.224939 	 21.180072 	 0.015719 
24 	 30.000000 	 1331.335854 	 1310.776306 	 20.559548 	 0.015443 
25 	 31.250000 	 1316.007709 	 1296.035906 	 19.971803 	 0.015176 
26 	 32.500000 	 1301.362802 	 1281.948325 	 19.414478 	 0.014919 
27 	 33.750000 	 1287.349586 	 1268.464178 	 18.885409 	 0.014670 
28 	 35.000000 	 1273.921895 	 1255.539282 	 18.382613 	 0.014430 
29 	 36.250000 	 1261.038237 	 1243.133961 	 17.904276 	 0.014198 
30 	 37.500000 	 1248.661197 	 1231.212464 	 17.448733 	 0.013974 
31 	 38.750000 	 1236.756931 	 1219.742472 	 17.014459 	 0.013757 
32 	 40.000000 	 1225.294736 	 1208.694680 	 16.600056 	 0.013548 
33 	 41.250000 	 1214.246678 	 1198.042441 	 16.204236 	 0.013345 
34 	 42.500000 	 1203.587280 	 1187.761460 	 15.825820 	 0.013149 
35 	 43.750000 	 1193.293247 	 1177.829529 	 15.463718 	 0.012959 
36 	 45.000000 	 1183.343227 	 1168.226298 	 15.116929 	 0.012775 
37 	 46.250000 	 1173.717609 	 1158.933080 	 14.784529 	 0.012596 
38 	 47.500000 	 1164.398339 	 1149.932675 	 14.465664 	 0.012423 
39 	 48.750000 	 1155.368767 	 1141.209223 	 14.159544 	 0.012255 
40 	 50.000000 	 1146.613505 	 1132.748066 	 13.865439 	 0.012093 
----------------------------------------------------------------------
Resolução para passo de tempo: 0.312500 
----------------------------------------------------------------------
Passo 	 Tempo 	 Solução Analítica 	 Euler Explicíto 	 Er. Abs. 	 Er. Rel. 
1 	 0.312500 	 2453.001043 	 2451.176758 	 1.824286 	 0.000744 
2 	 0.625000 	 2409.348509 	 2406.057543 	 3.290967 	 0.001366 
3 	 0.937500 	 2368.646520 	 2364.170140 	 4.476380 	 0.001890 
4 	 1.250000 	 2330.562881 	 2325.124674 	 5.438208 	 0.002333 
5 	 1.562500 	 2294.816374 	 2288.595744 	 6.220629 	 0.002711 
6 	 1.875000 	 2261.167033 	 2254.309137 	 6.857896 	 0.003033 
7 	 2.187500 	 2229.408612 	 2222.031762 	 7.376849 	 0.003309 
8 	 2.500000 	 2199.362670 	 2191.563936 	 7.798734 	 0.003546 
9 	 2.812500 	 2170.873890 	 2162.733378 	 8.140512 	 0.003750 
10 	 3.125000 	 2143.806327 	 2135.390489 	 8.415838 	 0.003926 
11 	 3.437500 	 2118.040380 	 2109.404597 	 8.635783 	 0.004077 
12 	 3.750000 	 2093.470328 	 2084.660941 	 8.809387 	 0.004208 
13 	 4.062500 	 2070.002304 	 2061.058230 	 8.944074 	 0.004321 
14 	 4.375000 	 2047.552625 	 2038.506646 	 9.045978 	 0.004418 
15 	 4.687500 	 2026.046400 	 2016.926207 	 9.120193 	 0.004501 
16 	 5.000000 	 2005.416366 	 1996.245398 	 9.170968 	 0.004573 
17 	 5.312500 	 1985.601908 	 1976.400042 	 9.201866 	 0.004634 
18 	 5.625000 	 1966.548230 	 1957.332346 	 9.215884 	 0.004686 
19 	 5.937500 	 1948.205647 	 1938.990092 	 9.215555 	 0.004730 
20 	 6.250000 	 1930.528984 	 1921.325958 	 9.203026 	 0.004767 
21 	 6.562500 	 1913.477059 	 1904.296936 	 9.180122 	 0.004798 
22 	 6.875000 	 1897.012231 	 1887.863830 	 9.148401 	 0.004823 
23 	 7.187500 	 1881.100020 	 1871.990827 	 9.109193 	 0.004842 
24 	 7.500000 	 1865.708768 	 1856.645126 	 9.063641 	 0.004858 
25 	 7.812500 	 1850.809344 	 1841.796618 	 9.012726 	 0.004870 
26 	 8.125000 	 1836.374892 	 1827.417599 	 8.957293 	 0.004878 
27 	 8.437500 	 1822.380602 	 1813.482532 	 8.898070 	 0.004883 
28 	 8.750000 	 1808.803512 	 1799.967825 	 8.835687 	 0.004885 
29 	 9.062500 	 1795.622335 	 1786.851646 	 8.770689 	 0.004884 
30 	 9.375000 	 1782.817302 	 1774.113754 	 8.703548 	 0.004882 
31 	 9.687500 	 1770.370026 	 1761.735352 	 8.634674 	 0.004877 
32 	 10.000000 	 1758.263375 	 1749.698954 	 8.564421 	 0.004871 
33 	 10.312500 	 1746.481368 	 1737.988269 	 8.493099 	 0.004863 
34 	 10.625000 	 1735.009072 	 1726.588097 	 8.420975 	 0.004854 
35 	 10.937500 	 1723.832519 	 1715.484235 	 8.348283 	 0.004843 
36 	 11.250000 	 1712.938620 	 1704.663394 	 8.275226 	 0.004831 
37 	 11.562500 	 1702.315103 	 1694.113124 	 8.201979 	 0.004818 
38 	 11.875000 	 1691.950439 	 1683.821743 	 8.128696 	 0.004804 
39 	 12.187500 	 1681.833790 	 1673.778282 	 8.055508 	 0.004790 
40 	 12.500000 	 1671.954957 	 1663.972426 	 7.982531 	 0.004774 
41 	 12.812500 	 1662.304326 	 1654.394463 	 7.909863 	 0.004758 
42 	 13.125000 	 1652.872832 	 1645.035240 	 7.837592 	 0.004742 
43 	 13.437500 	 1643.651915 	 1635.886125 	 7.765790 	 0.004725 
44 	 13.750000 	 1634.633483 	 1626.938962 	 7.694521 	 0.004707 
45 	 14.062500 	 1625.809883 	 1618.186044 	 7.623839 	 0.004689 
46 	 14.375000 	 1617.173869 	 1609.620079 	 7.553790 	 0.004671 
47 	 14.687500 	 1608.718571 	 1601.234158 	 7.484413 	 0.004652 
48 	 15.000000 	 1600.437477 	 1593.021736 	 7.415741 	 0.004634 
49 	 15.312500 	 1592.324402 	 1584.976601 	 7.347801 	 0.004615 
50 	 15.625000 	 1584.373471 	 1577.092857 	 7.280614 	 0.004595 
51 	 15.937500 	 1576.579099 	 1569.364899 	 7.214200 	 0.004576 
52 	 16.250000 	 1568.935970 	 1561.787398 	 7.148571 	 0.004556 
53 	 16.562500 	 1561.439023 	 1554.355283 	 7.083740 	 0.004537 
54 	 16.875000 	 1554.083437 	 1547.063723 	 7.019714 	 0.004517 
55 	 17.187500 	 1546.864612 	 1539.908114 	 6.956498 	 0.004497 
56 	 17.500000 	 1539.778162 	 1532.884067 	 6.894095 	 0.004477 
57 	 17.812500 	 1532.819897 	 1525.987390 	 6.832508 	 0.004457 
58 	 18.125000 	 1525.985815 	 1519.214082 	 6.771734 	 0.004438 
59 	 18.437500 	 1519.272090 	 1512.560319 	 6.711772 	 0.004418 
60 	 18.750000 	 1512.675062 	 1506.022444 	 6.652618 	 0.004398 
61 	 19.062500 	 1506.191227 	 1499.596959 	 6.594268 	 0.004378 
62 	 19.375000 	 1499.817232 	 1493.280516 	 6.536716 	 0.004358 
63 	 19.687500 	 1493.549861 	 1487.069905 	 6.479956 	 0.004339 
64 	 20.000000 	 1487.386034 	 1480.962053 	 6.423981 	 0.004319 
65 	 20.312500 	 1481.322793 	 1474.954012 	 6.368782 	 0.004299 
66 	 20.625000 	 1475.357303 	 1469.042952 	 6.314351 	 0.004280 
67 	 20.937500 	 1469.486839 	 1463.226160 	 6.260679 	 0.004260 
68 	 21.250000 	 1463.708784 	 1457.501026 	 6.207757 	 0.004241 
69 	 21.562500 	 1458.020623 	 1451.865047 	 6.155576 	 0.004222 
70 	 21.875000 	 1452.419938 	 1446.315813 	 6.104125 	 0.004203 
71 	 22.187500 	 1446.904403 	 1440.851008 	 6.053395 	 0.004184 
72 	 22.500000 	 1441.471777 	 1435.468403 	 6.003375 	 0.004165 
73 	 22.812500 	 1436.119906 	 1430.165852 	 5.954054 	 0.004146 
74 	 23.125000 	 1430.846713 	 1424.941289 	 5.905423 	 0.004127 
75 	 23.437500 	 1425.650195 	 1419.792724 	 5.857471 	 0.004109 
76 	 23.750000 	 1420.528425 	 1414.718238 	 5.810187 	 0.004090 
77 	 24.062500 	 1415.479541 	 1409.715980 	 5.763561 	 0.004072 
78 	 24.375000 	 1410.501747 	 1404.784165 	 5.717582 	 0.004054 
79 	 24.687500 	 1405.593312 	 1399.921072 	 5.672240 	 0.004035 
80 	 25.000000 	 1400.752562 	 1395.125037 	 5.627525 	 0.004018 
81 	 25.312500 	 1395.977881 	 1390.394456 	 5.583425 	 0.004000 
82 	 25.625000 	 1391.267708 	 1385.727777 	 5.539932 	 0.003982 
83 	 25.937500 	 1386.620534 	 1381.123501 	 5.497033 	 0.003964 
84 	 26.250000 	 1382.034899 	 1376.580178 	 5.454721 	 0.003947 
85 	 26.562500 	 1377.509392 	 1372.096408 	 5.412984 	 0.003930 
86 	 26.875000 	 1373.042646 	 1367.670833 	 5.371813 	 0.003912 
87 	 27.187500 	 1368.633341 	 1363.302143 	 5.331198 	 0.003895 
88 	 27.500000 	 1364.280197 	 1358.989068 	 5.291130 	 0.003878 
89 	 27.812500 	 1359.981974 	 1354.730376 	 5.251599 	 0.003862 
90 	 28.125000 	 1355.737472 	 1350.524877 	 5.212595 	 0.003845 
91 	 28.437500 	 1351.545527 	 1346.371416 	 5.174111 	 0.003828 
92 	 28.750000 	 1347.405011 	 1342.268875 	 5.136136 	 0.003812 
93 	 29.062500 	 1343.314830 	 1338.216168 	 5.098662 	 0.003796 
94 	 29.375000 	 1339.273925 	 1334.212244 	 5.061681 	 0.003779 
95 	 29.687500 	 1335.281266 	 1330.256083 	 5.025183 	 0.003763 
96 	 30.000000 	 1331.335854 	 1326.346693 	 4.989160 	 0.003747 
97 	 30.312500 	 1327.436720 	 1322.483115 	 4.953605 	 0.003732 
98 	 30.625000 	 1323.582923 	 1318.664415 	 4.918508 	 0.003716 
99 	 30.937500 	 1319.773549 	 1314.889686 	 4.883863 	 0.003701 
100 	 31.250000 	 1316.007709 	 1311.158049 	 4.849660 	 0.003685 
101 	 31.562500 	 1312.284542 	 1307.468648 	 4.815893 	 0.003670 
102 	 31.875000 	 1308.603208 	 1303.820653 	 4.782555 	 0.003655 
103 	 32.187500 	 1304.962893 	 1300.213256 	 4.749637 	 0.003640 
104 	 32.500000 	 1301.362802 	 1296.645671 	 4.717132 	 0.003625 
105 	 32.812500 	 1297.802167 	 1293.117133 	 4.685033 	 0.003610 
106 	 33.125000 	 1294.280236 	 1289.626901 	 4.653334 	 0.003595 
107 	 33.437500 	 1290.796279 	 1286.174251 	 4.622028 	 0.003581 
108 	 33.750000 	 1287.349586 	 1282.758479 	 4.591107 	 0.003566 
109 	 34.062500 	 1283.939466 	 1279.378900 	 4.560566 	 0.003552 
110 	 34.375000 	 1280.565245 	 1276.034848 	 4.530397 	 0.003538 
111 	 34.687500 	 1277.226268 	 1272.725672 	 4.500596 	 0.003524 
112 	 35.000000 	 1273.921895 	 1269.450741 	 4.471154 	 0.003510 
113 	 35.312500 	 1270.651504 	 1266.209437 	 4.442067 	 0.003496 
114 	 35.625000 	 1267.414489 	 1263.001161 	 4.413328 	 0.003482 
115 	 35.937500 	 1264.210259 	 1259.825327 	 4.384932 	 0.003469 
116 	 36.250000 	 1261.038237 	 1256.681365 	 4.356872 	 0.003455 
117 	 36.562500 	 1257.897861 	 1253.568717 	 4.329144 	 0.003442 
118 	 36.875000 	 1254.788583 	 1250.486842 	 4.301741 	 0.003428 
119 	 37.187500 	 1251.709869 	 1247.435209 	 4.274659 	 0.003415 
120 	 37.500000 	 1248.661197 	 1244.413304 	 4.247893 	 0.003402 
121 	 37.812500 	 1245.642058 	 1241.420622 	 4.221436 	 0.003389 
122 	 38.125000 	 1242.651955 	 1238.456672 	 4.195284 	 0.003376 
123 	 38.437500 	 1239.690404 	 1235.520972 	 4.169432 	 0.003363 
124 	 38.750000 	 1236.756931 	 1232.613056 	 4.143875 	 0.003351 
125 	 39.062500 	 1233.851074 	 1229.732466 	 4.118608 	 0.003338 
126 	 39.375000 	 1230.972381 	 1226.878754 	 4.093627 	 0.003326 
127 	 39.687500 	 1228.120412 	 1224.051485 	 4.068928 	 0.003313 
