Resolução para passo de tempo: 20.000000 
----------------------------------------------------------------------
Passo 	 Tempo 	 Solução Analítica 	 Euler Implícito 	 Er. Abs. 	 Er. Rel. 
1 	 20.000000 	 1487.386034 	 1750.000000 	 262.613966 	 0.176561 
2 	 40.000000 	 1225.294736 	 1422.628198 	 197.333462 	 0.161050 
----------------------------------------------------------------------
Resolução para passo de tempo: 5.000000 
----------------------------------------------------------------------
Passo 	 Tempo 	 Solução Analítica 	 Euler Implícito 	 Er. Abs. 	 Er. Rel. 
1 	 5.000000 	 2005.416366 	 2106.372977 	 100.956611 	 0.050342 
2 	 10.000000 	 1758.263375 	 1864.664289 	 106.400915 	 0.060515 
3 	 15.000000 	 1600.437477 	 1698.348554 	 97.911076 	 0.061178 
4 	 20.000000 	 1487.386034 	 1575.271720 	 87.885686 	 0.059087 
5 	 25.000000 	 1400.752562 	 1479.517797 	 78.765235 	 0.056231 
6 	 30.000000 	 1331.335854 	 1402.265411 	 70.929557 	 0.053277 
7 	 35.000000 	 1273.921895 	 1338.204808 	 64.282914 	 0.050461 
8 	 40.000000 	 1225.294736 	 1283.932954 	 58.638219 	 0.047856 
9 	 45.000000 	 1183.343227 	 1237.158700 	 53.815473 	 0.045477 
10 	 50.000000 	 1146.613505 	 1196.277090 	 49.663586 	 0.043313 
----------------------------------------------------------------------
Resolução para passo de tempo: 1.250000 
----------------------------------------------------------------------
Passo 	 Tempo 	 Solução Analítica 	 Euler Implícito 	 Er. Abs. 	 Er. Rel. 
1 	 1.250000 	 2330.562881 	 2348.038091 	 17.475210 	 0.007498 
2 	 2.500000 	 2199.362670 	 2225.421335 	 26.058665 	 0.011848 
3 	 3.750000 	 2093.470328 	 2123.730028 	 30.259700 	 0.014454 
4 	 5.000000 	 2005.416366 	 2037.567303 	 32.150938 	 0.016032 
5 	 6.250000 	 1930.528984 	 1963.299284 	 32.770300 	 0.016975 
6 	 7.500000 	 1865.708768 	 1898.380231 	 32.671464 	 0.017512 
7 	 8.750000 	 1808.803512 	 1840.967669 	 32.164157 	 0.017782 
